dataset,graph_type,path,sha256,official_nodes,official_edges,raw_nodes,raw_edge_rows,raw_self_loops,simple_directed_edges,simple_undirected_edges,duplicate_directed_rows,undirected_projection_collapses,raw_graph_edges,processed_nodes,processed_edges,node_count_matches_official,raw_graph_edge_count_matches_official,processed_edge_count_matches_official,processed_edge_delta_from_official,input_policy,source
ca-GrQc,undirected,datasets/undirected/ca-GrQc.txt,a155180e45b8638d9627c1eee79d6ca2dcb5504d3b290f476a2677c5a6946844,5242,14496,5242,28980,12,28968,14484,0,14484,14496,5242,14484,True,True,False,-12,retain vertices; remove self-loops; deduplicate directed arcs or undirected endpoint pairs,https://snap.stanford.edu/data/ca-GrQc.html
ca-HepTh,undirected,datasets/undirected/ca-HepTh.txt,34c5222a40815dff18c0613d795fa71c79e842a03c21a79bc7a759d54c9cf1b2,9877,25998,9877,51971,25,51946,25973,0,25973,25998,9877,25973,True,True,False,-25,retain vertices; remove self-loops; deduplicate directed arcs or undirected endpoint pairs,https://snap.stanford.edu/data/ca-HepTh.html
LastFM,undirected,datasets/undirected/LastFM.txt,143096673481202790a7ecdcee38d10f00047de5cb98abed212e8f435c1172b3,7624,27806,7624,27806,0,27806,27806,0,0,27806,7624,27806,True,True,True,0,retain vertices; remove self-loops; deduplicate directed arcs or undirected endpoint pairs,https://snap.stanford.edu/data/feather-lastfm-social.html
pgp,undirected,datasets/undirected/pgp.txt,b580afb1c6342335959632cf0db07cef75475b34fd46f0812f52cd8d96561003,10680,24316,10680,24340,0,24316,24316,24,24,24316,10680,24316,True,True,True,0,retain vertices; remove self-loops; deduplicate directed arcs or undirected endpoint pairs,https://sparse.tamu.edu/Arenas/PGPgiantcompo
ca-CondMat,undirected,datasets/undirected/ca-CondMat.txt,be63b1313f232b8dd29fd36d5f87ddccb2b9c03a2478b8e338304af8f392fe52,23133,93497,23133,186936,58,186878,93439,0,93439,93497,23133,93439,True,True,False,-58,retain vertices; remove self-loops; deduplicate directed arcs or undirected endpoint pairs,https://snap.stanford.edu/data/ca-CondMat.html
ca-HepPh,undirected,datasets/undirected/ca-HepPh.txt,ec3c51be073bfd75ad086936b7977076ccfe383830267508c999e47d52b23133,12008,118521,12008,237010,32,236978,118489,0,118489,118521,12008,118489,True,True,False,-32,retain vertices; remove self-loops; deduplicate directed arcs or undirected endpoint pairs,https://snap.stanford.edu/data/ca-HepPh.html
email-Enron,undirected,datasets/undirected/email-Enron.txt,d3f747d78cc51a910f6b9b2a04acee667577ae8dab4ba42eb6082612ce22bfd5,36692,183831,36692,367662,0,367662,183831,0,183831,183831,36692,183831,True,True,True,0,retain vertices; remove self-loops; deduplicate directed arcs or undirected endpoint pairs,https://snap.stanford.edu/data/email-Enron.html
com-youtube,undirected,datasets/undirected/com-youtube.ungraph.txt,e4826febdde95f77d27ce4505432deb5f4a69245be009e9729645ef95503b74c,1134890,2987624,1134890,2987624,0,2987624,2987624,0,0,2987624,1134890,2987624,True,True,True,0,retain vertices; remove self-loops; deduplicate directed arcs or undirected endpoint pairs,https://snap.stanford.edu/data/com-Youtube.html
p2p-Gnutella04,directed,datasets/directed/p2p-Gnutella04.txt,ecde0d25462dd1c3c9edf5b2e6a98d43057b11b562e83ff2986a02292b4cb73c,10876,39994,10876,39994,0,39994,39994,0,0,39994,10876,39994,True,True,True,0,retain vertices; remove self-loops; deduplicate directed arcs or undirected endpoint pairs,https://snap.stanford.edu/data/p2p-Gnutella04.html
p2p-Gnutella08,directed,datasets/directed/p2p-Gnutella08.txt,b58c2d2d80dc80be010058226a20273ce66999f78742a4db5cc2be249af33ab8,6301,20777,6301,20777,0,20777,20777,0,0,20777,6301,20777,True,True,True,0,retain vertices; remove self-loops; deduplicate directed arcs or undirected endpoint pairs,https://snap.stanford.edu/data/p2p-Gnutella08.html
wiki-Vote,directed,datasets/directed/wiki-Vote.txt,e86f5c7e645ee6a3c173a2efdf6069750e6db95d66fe588ab6197604024475e1,7115,103689,7115,103689,0,103689,100762,0,2927,103689,7115,103689,True,True,True,0,retain vertices; remove self-loops; deduplicate directed arcs or undirected endpoint pairs,https://snap.stanford.edu/data/wiki-Vote.html
soc-Epinions1,directed,datasets/directed/soc-Epinions1.txt,900fcedd277345cb9499a972dae30a3231f1aacd07fedf186f62bd06136ae7a3,75879,508837,75879,508837,0,508837,405740,0,103097,508837,75879,508837,True,True,True,0,retain vertices; remove self-loops; deduplicate directed arcs or undirected endpoint pairs,https://snap.stanford.edu/data/soc-Epinions1.html
email-EuAll,directed,datasets/directed/email-EuAll.txt,98e9a8d6fdd6c86f6bcdf401d44d6011377fbe5bbf8eac256ba6f3bf0d53a26f,265214,420045,265214,420045,1089,418956,364481,0,54475,420045,265214,418956,True,True,False,-1089,retain vertices; remove self-loops; deduplicate directed arcs or undirected endpoint pairs,https://snap.stanford.edu/data/email-EuAll.html
soc-Slashdot0811,directed,datasets/directed/soc-Slashdot0811.txt,ede3ece97b1b67bdc396362bdc3d20b94bfd56c1e41ba66929d18c3a4119643d,77360,905468,77360,905468,77307,828161,469180,0,358981,905468,77360,828161,True,True,False,-77307,retain vertices; remove self-loops; deduplicate directed arcs or undirected endpoint pairs,https://snap.stanford.edu/data/soc-Slashdot0811.html
web-NotreDame,directed,datasets/directed/web-NotreDame.txt,8eda64b3a9aeb7f20cd092c433794281d4250b51c7dad55702f91acc5f2ea08b,325729,1497134,325729,1497134,27455,1469679,1090108,0,379571,1497134,325729,1469679,True,True,False,-27455,retain vertices; remove self-loops; deduplicate directed arcs or undirected endpoint pairs,https://snap.stanford.edu/data/web-NotreDame.html
ER-100k,directed,datasets/directed/ER-100k.txt,232ba037822c769fcbfbdb3b3c3c10044d9b59052f3b5b50784ec00a02cb46da,100000,1000000,100000,1000000,0,1000000,999948,0,52,1000000,100000,1000000,True,True,True,0,retain vertices; remove self-loops; deduplicate directed arcs or undirected endpoint pairs,project-generated synthetic graph; pinned by SHA-256
wiki-Talk,directed,datasets/directed/wiki-Talk.txt,d731a22b5aef0892000afc73c9ac9f149922e66ac90fd81bf18f060951ace208,2394385,5021410,2394385,5021410,0,5021410,4659565,0,361845,5021410,2394385,5021410,True,True,True,0,retain vertices; remove self-loops; deduplicate directed arcs or undirected endpoint pairs,https://snap.stanford.edu/data/wiki-Talk.html
