dataset	paper_scope	graph_type	processed_nodes	processed_edges	edge_semantics	source_catalog_url	source_download_url	source_archive_sha256	benchmark_input_file	benchmark_input_bytes	benchmark_input_sha256	normalization	derived_artifacts_sha256	source_license	license_evidence_url	redistribution_decision	notes
ca-HepTh	main-13	undirected	9877	25973	simple undirected edges	https://snap.stanford.edu/data/ca-HepTh.html	UNKNOWN	UNKNOWN	ca-HepTh.txt	658567	34c5222a40815dff18c0613d795fa71c79e842a03c21a79bc7a759d54c9cf1b2	retain vertices; remove 25 self-loops; deduplicate undirected endpoint pairs	UNKNOWN	UNKNOWN (dataset-specific terms not stated on cited page)	UNKNOWN	SOURCE-LINK-ONLY-PENDING-RIGHTS-REVIEW	official graph-level count is 25,998 including the removed self-loops
LastFM	main-13	undirected	7624	27806	simple undirected edges	https://snap.stanford.edu/data/feather-lastfm-social.html	UNKNOWN	UNKNOWN	LastFM.txt	270433	143096673481202790a7ecdcee38d10f00047de5cb98abed212e8f435c1172b3	retain vertices; remove self-loops; deduplicate undirected endpoint pairs	UNKNOWN	UNKNOWN (dataset-specific terms not stated on cited page)	UNKNOWN	SOURCE-LINK-ONLY-PENDING-RIGHTS-REVIEW	processed edge count matches the pinned benchmark input
p2p-Gnutella04	main-13	directed	10876	39994	simple directed edges	https://snap.stanford.edu/data/p2p-Gnutella04.html	UNKNOWN	UNKNOWN	p2p-Gnutella04.txt	431145	ecde0d25462dd1c3c9edf5b2e6a98d43057b11b562e83ff2986a02292b4cb73c	retain vertices; remove self-loops; deduplicate directed arcs	UNKNOWN	UNKNOWN (dataset-specific terms not stated on cited page)	UNKNOWN	SOURCE-LINK-ONLY-PENDING-RIGHTS-REVIEW	processed edge count matches the pinned benchmark input
ca-HepPh	main-13	undirected	12008	118489	simple undirected edges	https://snap.stanford.edu/data/ca-HepPh.html	UNKNOWN	UNKNOWN	ca-HepPh.txt	3020062	ec3c51be073bfd75ad086936b7977076ccfe383830267508c999e47d52b23133	retain vertices; remove 32 self-loops; deduplicate undirected endpoint pairs	UNKNOWN	UNKNOWN (dataset-specific terms not stated on cited page)	UNKNOWN	SOURCE-LINK-ONLY-PENDING-RIGHTS-REVIEW	official graph-level count is 118,521 including the removed self-loops
email-Enron	main-13	undirected	36692	183831	simple undirected edges	https://snap.stanford.edu/data/email-Enron.html	UNKNOWN	UNKNOWN	email-Enron.txt	4049116	d3f747d78cc51a910f6b9b2a04acee667577ae8dab4ba42eb6082612ce22bfd5	retain vertices; remove self-loops; deduplicate undirected endpoint pairs	UNKNOWN	UNKNOWN (dataset-specific terms not stated on cited page)	UNKNOWN	SOURCE-LINK-ONLY-PENDING-RIGHTS-REVIEW	processed edge count matches the pinned benchmark input
ca-CondMat	main-13	undirected	23133	93439	simple undirected edges	https://snap.stanford.edu/data/ca-CondMat.html	UNKNOWN	UNKNOWN	ca-CondMat.txt	2419682	be63b1313f232b8dd29fd36d5f87ddccb2b9c03a2478b8e338304af8f392fe52	retain vertices; remove 58 self-loops; deduplicate undirected endpoint pairs	UNKNOWN	UNKNOWN (dataset-specific terms not stated on cited page)	UNKNOWN	SOURCE-LINK-ONLY-PENDING-RIGHTS-REVIEW	official graph-level count is 93,497 including the removed self-loops
soc-Epinions1	main-13	directed	75879	508837	simple directed edges	https://snap.stanford.edu/data/soc-Epinions1.html	UNKNOWN	UNKNOWN	soc-Epinions1.txt	5662911	900fcedd277345cb9499a972dae30a3231f1aacd07fedf186f62bd06136ae7a3	retain vertices; remove self-loops; deduplicate directed arcs	UNKNOWN	UNKNOWN (dataset-specific terms not stated on cited page)	UNKNOWN	SOURCE-LINK-ONLY-PENDING-RIGHTS-REVIEW	processed edge count matches the pinned benchmark input
soc-Slashdot0811	main-13	directed	77360	828161	simple directed edges	https://snap.stanford.edu/data/soc-Slashdot0811.html	UNKNOWN	UNKNOWN	soc-Slashdot0811.txt	10747200	ede3ece97b1b67bdc396362bdc3d20b94bfd56c1e41ba66929d18c3a4119643d	retain vertices; remove 77,307 self-loops; deduplicate directed arcs	UNKNOWN	UNKNOWN (dataset-specific terms not stated on cited page)	UNKNOWN	SOURCE-LINK-ONLY-PENDING-RIGHTS-REVIEW	official graph-level count is 905,468 including the removed self-loops
ER-100k	main-13	directed	100000	1000000	simple directed edges	project-generated	NOT-APPLICABLE	NOT-APPLICABLE	ER-100k.txt	11778425	232ba037822c769fcbfbdb3b3c3c10044d9b59052f3b5b50784ec00a02cb46da	retain vertices; remove self-loops; deduplicate directed arcs	UNKNOWN	UNKNOWN (project-generated; release license not assigned)	UNKNOWN	DO-NOT-DISTRIBUTE-UNTIL-AUTHORS-ASSIGN-LICENSE	generator parameters and generator source were not present in the reviewed provenance record
web-NotreDame	main-13	directed	325729	1469679	simple directed edges	https://snap.stanford.edu/data/web-NotreDame.html	UNKNOWN	UNKNOWN	web-NotreDame.txt	21555101	8eda64b3a9aeb7f20cd092c433794281d4250b51c7dad55702f91acc5f2ea08b	retain vertices; remove 27,455 self-loops; deduplicate directed arcs	UNKNOWN	UNKNOWN (dataset-specific terms not stated on cited page)	UNKNOWN	SOURCE-LINK-ONLY-PENDING-RIGHTS-REVIEW	official graph-level count is 1,497,134 including the removed self-loops
com-youtube	main-13	undirected	1134890	2987624	simple undirected edges	https://snap.stanford.edu/data/com-Youtube.html	UNKNOWN	UNKNOWN	com-youtube.ungraph.txt	38720700	e4826febdde95f77d27ce4505432deb5f4a69245be009e9729645ef95503b74c	retain vertices; remove self-loops; deduplicate undirected endpoint pairs	UNKNOWN	UNKNOWN (dataset-specific terms not stated on cited page)	UNKNOWN	SOURCE-LINK-ONLY-PENDING-RIGHTS-REVIEW	processed edge count matches the pinned benchmark input
com-Orkut	main-13-large	undirected	3072441	117185083	simple undirected edges	https://snap.stanford.edu/data/com-Orkut.html	https://snap.stanford.edu/data/bigdata/communities/com-orkut.ungraph.txt.gz	f73e33fb685f411a10c952f2ba3ea788380b91a17bc636e38da1a23f6c6b2bc6	com-orkut.ungraph.txt	1769771950	4ab39e4ab7eb7b0f9e653da09e947abbccf6aa271bdf4c7707ad3f5aa5909ab8	retain vertices; source-certified simple graph; deterministically remap sorted labels to zero-based contiguous IDs; build symmetric CSR	com-Orkut.offsets.i32=41e6199d70c70667e7f3e1ba179ac67a1bd7bc64de2e4684dcd42c6a7df0ede9;com-Orkut.indices.i32=674b0eea1d82ad1286f6ec2b3431da9c0ddc4f59aac998b4578a00234da899e0;com-Orkut.original-labels.i64=2796c36e70794ec9125fbec732066f602f28f910e80fe06386a9b6ec063c718d	UNKNOWN (dataset-specific terms not stated on cited page)	UNKNOWN	SOURCE-LINK-ONLY-PENDING-RIGHTS-REVIEW	CSR has 234,370,166 directed adjacency entries; source page credits Alan Mislove et al.
GAP-twitter	main-13-large	directed	61578415	1468364884	simple directed edges	https://sparse.tamu.edu/GAP/GAP-twitter	http://sparse-files.engr.tamu.edu/MM/GAP/GAP-twitter.tar.gz	e93292f357f56a396dbc5165b2743c121e2afb29c78e822b8299008cfb76bee6	GAP-twitter.mtx	31423834191	78ed59c90e71d43ad8caa21bbea917b2084a1e3cbb16411c9b4817d56b42f537	retain all matrix rows; use directed pattern with implicit unit weights; build zero-based CSR; do not use supplied random integer weights	GAP-twitter.offsets.i32=6e03bdf4dcbff3e76165eebf04960ce9a17ce0a06df5bfa6052346cca346eebc;GAP-twitter.indices.i32=5552698cc42ea279624a452e5a2d0f8ecf390e694794c30ee180fa815060f3de	CC-BY-4.0	https://sparse.tamu.edu/about	REDISTRIBUTABLE-WITH-ATTRIBUTION-METADATA-AND-MODIFICATION-NOTICE	retain 19,926,185 isolated rows; preserve the Matrix Market metadata and GAP/SuiteSparse citations
